scenario,iter,profit,produced,good,th_per_hr,epp,J
S1_profit,278,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,279,2291.1211,33,33,4.950000,2.288346,2291.121145
S1_profit,280,2360.4085,34,34,5.100000,2.304888,2360.408453
S1_profit,281,1944.0518,28,28,4.200000,2.278316,1944.051791
S1_profit,282,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,283,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,284,2291.3331,33,33,4.950000,2.262657,2291.333081
S1_profit,285,2360.2199,34,34,5.100000,2.327074,2360.219875
S1_profit,286,1596.8288,23,23,3.450000,2.290636,1596.828845
S1_profit,287,1595.6948,23,23,3.450000,2.487853,1595.694846
S1_profit,288,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,289,1874.2046,27,27,4.050000,2.340055,1874.204630
S1_profit,290,2082.9095,30,30,4.500000,2.278729,2082.909534
S1_profit,291,1942.8975,28,28,4.200000,2.443209,1942.897539
S1_profit,292,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,293,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,294,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,295,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,296,2014.2161,29,29,4.350000,2.177095,2014.216060
S1_profit,297,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,298,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,299,1735.8351,25,25,3.750000,2.266379,1735.835131
S1_profit,300,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,301,1875.8690,27,27,4.050000,2.093485,1875.868975
S1_profit,302,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,303,2082.9095,30,30,4.500000,2.278729,2082.909534
S1_profit,304,2012.8448,29,29,4.350000,2.366239,2012.844765
S1_profit,305,2082.9225,30,30,4.500000,2.277002,2082.922487
S1_profit,306,2012.2000,29,29,4.350000,2.455166,2012.200045
S1_profit,307,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,308,2360.2199,34,34,5.100000,2.327074,2360.219875
S1_profit,309,2221.1732,32,32,4.800000,2.353351,2221.173192
S1_profit,310,1942.8975,28,28,4.200000,2.443209,1942.897539
S1_profit,311,1804.5967,26,26,3.900000,2.369735,1804.596720
S1_profit,312,2361.3306,34,34,5.100000,2.196404,2361.330569
S1_profit,313,1596.0673,23,23,3.450000,2.423080,1596.067290
S1_profit,314,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,315,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,316,1945.3563,28,28,4.200000,2.091961,1945.356274
S1_profit,317,1735.8351,25,25,3.750000,2.266379,1735.835131
S1_profit,318,2012.6136,29,29,4.350000,2.398120,2012.613634
S1_profit,319,1459.5651,21,21,3.150000,1.987600,1459.565100
S1_profit,320,2152.5074,31,31,4.650000,2.257111,2152.507387
S1_profit,321,1250.0309,18,18,2.700000,2.215356,1250.030896
S1_profit,322,1456.6984,21,21,3.150000,2.533643,1456.698377
S1_profit,323,1526.9080,22,22,3.300000,2.380366,1526.907986
S1_profit,324,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,325,2360.4085,34,34,5.100000,2.304888,2360.408453
S1_profit,326,1943.6453,28,28,4.200000,2.336385,1943.645302
S1_profit,327,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,328,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,329,1179.3028,17,17,2.550000,2.516984,1179.302818
S1_profit,330,1874.2046,27,27,4.050000,2.340055,1874.204630
S1_profit,331,2082.9095,30,30,4.500000,2.278729,2082.909534
S1_profit,332,1389.0522,20,20,3.000000,2.189552,1389.052239
S1_profit,333,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,334,2152.5074,31,31,4.650000,2.257111,2152.507387
S1_profit,335,2221.3397,32,32,4.800000,2.332537,2221.339701
S1_profit,336,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,337,1318.9991,19,19,2.850000,2.315988,1318.999059
S1_profit,338,1874.2046,27,27,4.050000,2.340055,1874.204630
S1_profit,339,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,340,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,341,1389.0522,20,20,3.000000,2.189552,1389.052239
S1_profit,342,2012.6439,29,29,4.350000,2.393939,2012.643945
S1_profit,343,1527.0968,22,22,3.300000,2.346035,1527.096808
S1_profit,344,2082.9225,30,30,4.500000,2.277002,2082.922487
S1_profit,345,1942.9753,28,28,4.200000,2.432101,1942.975292
S1_profit,346,2221.0883,32,32,4.800000,2.363962,2221.088308
S1_profit,347,2082.9095,30,30,4.500000,2.278729,2082.909534
S1_profit,348,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,349,2012.6439,29,29,4.350000,2.393939,2012.643945
S1_profit,350,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,351,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,352,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,353,2291.3983,33,33,4.950000,2.254757,2291.398251
S1_profit,354,2290.4599,33,33,4.950000,2.368491,2290.459950
S1_profit,355,2291.1211,33,33,4.950000,2.288346,2291.121145
S1_profit,356,2151.8245,31,31,4.650000,2.345225,2151.824504
S1_profit,357,2290.9249,33,33,4.950000,2.312139,2290.924852
S1_profit,358,2499.7396,36,36,5.400000,2.251156,2499.739598
S1_profit,359,2152.5074,31,31,4.650000,2.257111,2152.507387
S1_profit,360,2012.6439,29,29,4.350000,2.393939,2012.643945
